id,title,url,description,status
ALT,37th International Conference on Algorithmic Learning Theory,https://algorithmiclearningtheory.org/alt2026/,"The 37th International Conference on Algorithmic Learning Theory (ALT 2026) focuses on the theoretical and algorithmic aspects of machine learning, serving the community of researchers and practitioners in this field. The conference invites submissions on a wide range of topics, including the design and analysis of learning algorithms, classical foundations of learning theory (statistical, computational, algorithmic, and information-theoretic), online learning and game theory, and various optimization techniques. Specific areas of interest also encompass different paradigms of learning (supervised, unsupervised, semi-supervised, active, and reinforcement learning), large language models and transformers, AI safety and robustness, deep learning theoretical perspectives, core statistics topics, Bayesian and kernel methods, interpretability, and learning with algorithmic constraints. Additionally, the conference addresses learning modalities such as time series and graph data, as well as the mathematical analysis of sampling methods.",success
AIIM26,AI+IM Global Summit,https://www.aiim.org/global-summit-2025,"The AI+IM Global Summit 2026, hosted by AIIM (the Association for Intelligent Information Management), focuses on the intersection of artificial intelligence and information management, aiming to equip information leaders with the tools and strategies necessary to thrive in the age of AI. This conference serves professionals in the information management community, particularly those involved in digital transformation, risk reduction, and data-driven decision-making. Specific topics covered include Organizational Readiness for AI, Maximizing Digital Assistants, AI Regulations, Workflow and Process Automation using tools like OneDrive/SharePoint and Power BI, AI Governance and Policy Development, Automating Compliance, and strategies for Leadership and Change Management in information management programs. The event emphasizes hands-on learning through interactive sessions, live demonstrations, and peer discussions, fostering a collaborative environment for attendees.",success
ALENEX25,SIAM Symposium on Algorithm Engineering and Experiments,https://www.siam.org/conferences-events/past-event-archive/alenex25/,"The SIAM Symposium on Algorithm Engineering and Experiments (ALENEX25) serves the community of researchers and practitioners focused on the design, implementation, and experimental evaluation of algorithms and data structures. The conference aims to provide a platform for presenting original research that includes extensive experimental analysis of algorithmic results, bridging the gap between theory and practice. Specific topics covered include databases, geometry, graphs and networks (including web applications), operations research, combinatorial aspects of scientific computing, and computational problems in the natural sciences or engineering. Additionally, submissions addressing methodological issues and standards in the experimental evaluation of algorithms and data structures are also encouraged.",success
ASCILITE,Australasian Society for Computers in Learning in Tertiary Education Conference,https://ascilite.org/,"The Australasian Society for Computers in Learning in Tertiary Education Conference (ASCILITE) focuses on the integration of technology in higher education, serving the community of educators, researchers, and practitioners interested in the use of computers in learning. The conference covers a variety of specific topics including Business Education, Learning Analytics, Learning Design, Mobile Learning, Open Educational Practice, Technology-Enhanced Learning (TEL), and Transforming Assessment. Additionally, it supports initiatives such as the ASCILITE Research Grants and various Special Interest Groups (SIGs) that promote collaboration and innovation in these areas. The conference aims to foster professional development and community engagement among its members.",success
ACiD,Algorithms and Complexity in Durham,https://algorithmscomplexity.webspace.durham.ac.uk/,"The Algorithms and Complexity in Durham (ACiD) conference focuses on theoretical computer science, particularly the development of algorithmic techniques that leverage modern computational power, the exploration of computational limits, and the study of intractability and unsolvable problems. It serves a community of researchers and students interested in various aspects of algorithms and complexity theory. Specific topics covered include computational complexity, proof complexity, descriptive complexity, graph theory, exact algorithms, randomized algorithms, approximation algorithms, parameterized algorithms, finite model theory, constraint satisfaction, interconnection networks, universal algebra, and mathematical logic.",success
AMCIS,Americas Conference on Information Systems,https://amcis2025.aisconferences.org/,,skipped-fetch-failed
CSL,34th EACSL Annual Conference on Computer Science Logic,https://csl2026.github.io/,"The 34th EACSL Annual Conference on Computer Science Logic (CSL 2026) is an interdisciplinary conference that focuses on both basic and application-oriented research in mathematical logic and computer science. It serves the community of researchers and practitioners interested in the intersection of these fields. Specific topics of interest include, but are not limited to: automated deduction and interactive theorem proving, concurrency and distributed computation, constructive mathematics and type theory, equational logic and term rewriting, automata and games, formal methods, model checking, decision procedures, modal and temporal logic, description logics, logical aspects of computational complexity, logical aspects of AI, finite model theory, computability, computational proof theory, logic programming and constraints, lambda calculus and combinatory logic, domain theory, categorical logic and topological semantics, database theory, specification, extraction and transformation of programs, logical aspects of quantum computing, logical foundations of programming paradigms, verification and program analysis, linear logic, higher-order logic, knowledge representation and reasoning",success
AMIA,American Medical Informatics Annual Fall Symposium,https://amia.org/education-events/amia-2025-annual-symposium,,skipped-fetch-failed
ACSAC,Annual Computer Security Applications Conference,https://www.acsac.org/,"The IEEE Annual Computer Security Applications Conference (ACSAC) serves the community of researchers, practitioners, and security professionals from academia, industry, and government, focusing on the latest developments in cybersecurity. The conference covers a wide range of topics, including peer-reviewed technical papers, case studies on real-world applications, panels featuring experts, and workshops on current cybersecurity and privacy issues. Specific topics include the security and privacy of agentic systems, addressing threats such as prompt injection, goal manipulation, and vulnerabilities associated with AI-driven agents. Additionally, ACSAC invites submissions related to practical solutions for computer and network security technologies, emphasizing the exchange of ideas and experiences in the field.",success
IAFCS2025,International Anti-Financial Crime Summit 2025,https://www.amlintelligence.com/asp-products/international-anti-financial-crime-summit-2025/,,skipped-fetch-failed
